"loss","profit","macd_level","target_stability","balance"
"0.005","0.01","0.05","0","567.0"
"0.005","0.01","0.05","1","603.0"
"0.005","0.01","0.05","2","603.0"
"0.005","0.01","0.05","3","603.0"
"0.005","0.01","0.05","4","603.0"
"0.005","0.01","0.05","6","603.0"
"0.005","0.01","0.1","0","775.0"
"0.005","0.01","0.1","1","650.0"
"0.005","0.01","0.1","2","650.0"
"0.005","0.01","0.1","3","650.0"
"0.005","0.01","0.1","4","650.0"
"0.005","0.01","0.1","6","650.0"
"0.005","0.01","0.15","0","775.0"
"0.005","0.01","0.15","1","353.0"
"0.005","0.01","0.15","2","353.0"
"0.005","0.01","0.15","3","353.0"
"0.005","0.01","0.15","4","353.0"
"0.005","0.01","0.15","6","353.0"
"0.005","0.01","0.2","0","623.0"
"0.005","0.01","0.2","1","342.0"
"0.005","0.01","0.2","2","342.0"
"0.005","0.01","0.2","3","342.0"
"0.005","0.01","0.2","4","342.0"
"0.005","0.01","0.2","6","342.0"
"0.005","0.01","0.25","0","533.0"
"0.005","0.01","0.25","1","252.0"
"0.005","0.01","0.25","2","252.0"
"0.005","0.01","0.25","3","252.0"
"0.005","0.01","0.25","4","252.0"
"0.005","0.01","0.25","6","252.0"
"0.005","0.01","0.3","0","533.0"
"0.005","0.01","0.3","1","252.0"
"0.005","0.01","0.3","2","252.0"
"0.005","0.01","0.3","3","252.0"
"0.005","0.01","0.3","4","252.0"
"0.005","0.01","0.3","6","252.0"
"0.005","0.01","0.35","0","495.0"
"0.005","0.01","0.35","1","214.0"
"0.005","0.01","0.35","2","214.0"
"0.005","0.01","0.35","3","214.0"
"0.005","0.01","0.35","4","214.0"
"0.005","0.01","0.35","6","214.0"
"0.005","0.01","0.4","0","570.0"
"0.005","0.01","0.4","1","-208.0"
"0.005","0.01","0.4","2","-208.0"
"0.005","0.01","0.4","3","-208.0"
"0.005","0.01","0.4","4","-208.0"
"0.005","0.01","0.4","6","-208.0"
"0.005","0.01","0.45","0","280.0"
"0.005","0.01","0.45","1","76.0"
"0.005","0.01","0.45","2","76.0"
"0.005","0.01","0.45","3","76.0"
"0.005","0.01","0.45","4","76.0"
"0.005","0.01","0.45","6","76.0"
"0.005","0.01","0.5","0","130.0"
"0.005","0.01","0.5","1","-639.0"
"0.005","0.01","0.5","2","-639.0"
"0.005","0.01","0.5","3","-639.0"
"0.005","0.01","0.5","4","-639.0"
"0.005","0.01","0.5","6","-639.0"
"0.006","0.01","0.05","0","622.0"
"0.006","0.01","0.05","1","866.0"
"0.006","0.01","0.05","2","866.0"
"0.006","0.01","0.05","3","866.0"
"0.006","0.01","0.05","4","866.0"
"0.006","0.01","0.05","6","866.0"
"0.006","0.01","0.1","0","830.0"
"0.006","0.01","0.1","1","950.0"
"0.006","0.01","0.1","2","950.0"
"0.006","0.01","0.1","3","950.0"
"0.006","0.01","0.1","4","950.0"
"0.006","0.01","0.1","6","950.0"
"0.006","0.01","0.15","0","830.0"
"0.006","0.01","0.15","1","950.0"
"0.006","0.01","0.15","2","950.0"
"0.006","0.01","0.15","3","950.0"
"0.006","0.01","0.15","4","950.0"
"0.006","0.01","0.15","6","950.0"
"0.006","0.01","0.2","0","678.0"
"0.006","0.01","0.2","1","798.0"
"0.006","0.01","0.2","2","798.0"
"0.006","0.01","0.2","3","798.0"
"0.006","0.01","0.2","4","798.0"
"0.006","0.01","0.2","6","798.0"
"0.006","0.01","0.25","0","588.0"
"0.006","0.01","0.25","1","708.0"
"0.006","0.01","0.25","2","708.0"
"0.006","0.01","0.25","3","708.0"
"0.006","0.01","0.25","4","708.0"
"0.006","0.01","0.25","6","708.0"
"0.006","0.01","0.3","0","588.0"
"0.006","0.01","0.3","1","708.0"
"0.006","0.01","0.3","2","708.0"
"0.006","0.01","0.3","3","708.0"
"0.006","0.01","0.3","4","708.0"
"0.006","0.01","0.3","6","708.0"
"0.006","0.01","0.35","0","550.0"
"0.006","0.01","0.35","1","670.0"
"0.006","0.01","0.35","2","670.0"
"0.006","0.01","0.35","3","670.0"
"0.006","0.01","0.35","4","670.0"
"0.006","0.01","0.35","6","670.0"
"0.006","0.01","0.4","0","625.0"
"0.006","0.01","0.4","1","248.0"
"0.006","0.01","0.4","2","248.0"
"0.006","0.01","0.4","3","248.0"
"0.006","0.01","0.4","4","248.0"
"0.006","0.01","0.4","6","248.0"
"0.006","0.01","0.45","0","51.0"
"0.006","0.01","0.45","1","248.0"
"0.006","0.01","0.45","2","248.0"
"0.006","0.01","0.45","3","248.0"
"0.006","0.01","0.45","4","248.0"
"0.006","0.01","0.45","6","248.0"
"0.006","0.01","0.5","0","-99.0"
"0.006","0.01","0.5","1","98.0"
"0.006","0.01","0.5","2","98.0"
"0.006","0.01","0.5","3","98.0"
"0.006","0.01","0.5","4","98.0"
"0.006","0.01","0.5","6","98.0"
"0.007","0.01","0.05","0","532.0"
"0.007","0.01","0.05","1","752.0"
"0.007","0.01","0.05","2","752.0"
"0.007","0.01","0.05","3","752.0"
"0.007","0.01","0.05","4","752.0"
"0.007","0.01","0.05","6","752.0"
"0.007","0.01","0.1","0","740.0"
