"date","amount","sum","action","price","status","income","balance","source"
"2021-11-02 07:00:00",200,53098.0,"sell",265.49,"close",0,53625.15999999996,"strategy"
"2021-11-02 07:00:00",200,-53257.294,"buy",266.28647,"close",-159.29399999999987,367.86599999995815,"stop_loss"
"2021-11-02 08:00:00",200,52979.99999999999,"sell",264.9,"close",0,53347.86599999995,"strategy"
"2021-11-02 08:00:00",200,-53138.93999999999,"buy",265.69469999999995,"close",-158.9399999999955,208.9259999999631,"stop_loss"
"2021-11-02 09:00:00",200,-53100.0,"buy",265.5,"close",0,-52891.07400000004,"strategy"
"2021-11-02 11:00:00",200,52940.700000000004,"sell",264.7035,"close",-159.2999999999961,49.62599999996746,"stop_loss"
"2021-11-02 12:00:00",200,52858.00000000001,"sell",264.29,"close",0,52907.625999999975,"strategy"
"2021-11-02 13:00:00",200,-52984.0,"buy",264.92,"close",-125.99999999999909,-76.37400000002526,"strategy"
"2021-11-02 14:00:00",200,-52910.0,"buy",264.55,"close",0,-52986.374000000025,"strategy"
"2021-12-02 07:00:00",200,52751.27,"sell",263.75635,"close",-158.73000000000275,-235.10400000002846,"stop_loss"
"2021-12-02 08:00:00",200,52434.0,"sell",262.17,"close",0,52198.89599999997,"strategy"
"2021-12-02 13:00:00",200,-52179.99999999999,"buy",260.9,"close",254.00000000000773,18.895999999978812,"strategy"
"2021-12-02 14:00:00",200,-52200.0,"buy",261.0,"close",0,-52181.10400000002,"strategy"
"2021-12-02 17:00:00",200,53244.00000000001,"sell",266.22,"close",1044.0000000000055,1062.895999999986,"take_profit"
"2021-12-02 18:00:00",200,-53022.0,"buy",265.11,"close",0,-51959.104000000014,"strategy"
"2021-02-15 11:00:00",200,53600.0,"sell",268.0,"close",577.9999999999973,1640.895999999986,"strategy"
"2021-02-15 12:00:00",200,53726.0,"sell",268.63,"close",0,55366.895999999986,"strategy"
"2021-02-15 14:00:00",200,-53887.17799999999,"buy",269.43589,"close",-161.17799999999534,1479.7179999999935,"stop_loss"
